ecmp,,,niagara,,,
6/27/14 13:39,1,0,6/27/14 13:39,0.4,0.6,
6/27/14 13:40,0.967741935,0.032258065,6/27/14 13:40,0.548387097,0.451612903,
6/27/14 13:41,1,0,6/27/14 13:41,0.172413793,0.827586207,
6/27/14 13:42,1,0,6/27/14 13:42,0.363636364,0.636363636,
6/27/14 13:43,0.7,0.3,6/27/14 13:43,0.5875,0.4125,
6/27/14 13:44,0.606557377,0.393442623,6/27/14 13:44,0.459016393,0.540983607,
6/27/14 13:45,0.64516129,0.35483871,6/27/14 13:45,0.612903226,0.387096774,
6/27/14 13:46,0.685714286,0.314285714,6/27/14 13:46,0.6,0.4,
6/27/14 13:47,0.612903226,0.387096774,6/27/14 13:47,0.467741935,0.532258065,
6/27/14 13:48,0.802816901,0.197183099,6/27/14 13:48,0.535211268,0.464788732,
6/27/14 13:49,0.7,0.3,6/27/14 13:49,0.5875,0.4125,
6/27/14 13:50,0.612903226,0.387096774,6/27/14 13:50,0.467741935,0.532258065,
6/27/14 13:51,0.7,0.3,6/27/14 13:51,0.6,0.4,
6/27/14 13:52,0.830985915,0.169014085,6/27/14 13:52,0.492957746,0.507042254,
6/27/14 13:53,0.593220339,0.406779661,6/27/14 13:53,0.491525424,0.508474576,
6/27/14 13:54,0.692307692,0.307692308,6/27/14 13:54,0.615384615,0.384615385,
6/27/14 13:55,0.883495146,0.116504854,6/27/14 13:55,0.660194175,0.339805825,
6/27/14 13:56,0.785714286,0.214285714,6/27/14 13:56,0.464285714,0.535714286,
6/27/14 13:57,0.762376238,0.237623762,6/27/14 13:57,0.643564356,0.356435644,
6/27/14 13:58,0.823529412,0.176470588,6/27/14 13:58,0.514705882,0.485294118,
6/27/14 13:59,0.586206897,0.413793103,6/27/14 13:59,0.586206897,0.413793103,
ecmp,,,niagara,,,
6/27/14 13:38,1,0,6/27/14 13:38,0.4,0.6,0.5
6/27/14 13:40,0.978021978,0.021978022,6/27/14 13:40,0.428571429,0.571428571,0.5
6/27/14 13:42,0.835616438,0.164383562,6/27/14 13:42,0.48630137,0.51369863,0.5
6/27/14 13:44,0.62987013,0.37012987,6/27/14 13:44,0.551948052,0.448051948,0.5
6/27/14 13:46,0.651515152,0.348484848,6/27/14 13:46,0.537878788,0.462121212,0.5
6/27/14 13:48,0.748344371,0.251655629,6/27/14 13:48,0.562913907,0.437086093,0.5
6/27/14 13:50,0.661971831,0.338028169,6/27/14 13:50,0.542253521,0.457746479,0.5
6/27/14 13:52,0.723076923,0.276923077,6/27/14 13:52,0.492307692,0.507692308,0.5
6/27/14 13:54,0.801104972,0.198895028,6/27/14 13:54,0.640883978,0.359116022,0.5
6/27/14 13:56,0.770700637,0.229299363,6/27/14 13:56,0.579617834,0.420382166,0.5
6/27/14 13:58,0.75257732,0.24742268,6/27/14 13:58,0.536082474,0.463917526,0.5
